Folder,Batch,Corrected Batch,Model,Acc1,Acc2,Acc3,Acc4,Acc5,Acc6,Acc7,Acc8,Acc9,Acc10,Avg Last 3,Val Acc1,Val Acc2,Val Acc3,Val Acc4,Val Acc5,Val Acc6,Val Acc7,Val Acc8,Val Acc9,Val Acc10,Avg Last 3
Peach,62,63,1,0.838996887,0.856620789,0.879905701,0.894760132,0.899147034,0.894393921,0.878829956,0.905807495,0.90901947,0.906837463,0.907221476,0.605682373,0.664634705,0.675468445,0.676078796,0.625747681,0.645874023,0.642494202,0.578773499,0.580451965,0.57624054,0.578488668
Peach,63,64,1,0.831039429,0.861701965,0.871459961,0.880462646,0.896965027,0.899002075,0.902427673,0.906532288,0.911720276,0.918609619,0.912287394,0.859733582,0.876495361,0.878822327,0.879493713,0.872039795,0.862533569,0.863929749,0.856231689,0.85206604,0.838775635,0.849024455
Peach,64,65,1,0.876029968,0.8854599,0.893356323,0.898803711,0.905662537,0.910827637,0.910888672,0.912605286,0.913040161,0.91519928,0.913614909,0.697097778,0.695503235,0.668998718,0.655075073,0.635604858,0.624740601,0.618965149,0.614738464,0.614997864,0.615768433,0.615168254
Peach,65,66,1,0.686264038,0.876899719,0.861450195,0.87789917,0.92010498,0.926856995,0.925941467,0.927314758,0.927856445,0.92816925,0.927780151,0.846580505,0.814414978,0.758552551,0.844223022,0.842262268,0.820922852,0.805465698,0.797912598,0.792831421,0.79083252,0.793858846
Peach,66,67,1,0.862991333,0.875839233,0.891212463,0.897666931,0.901596069,0.90536499,0.908279419,0.910636902,0.912773132,0.915863037,0.913091024,0.758117676,0.753250122,0.745491028,0.734840393,0.725387573,0.720817566,0.711853027,0.700408936,0.730438232,0.711723328,0.714190165
Peach,67,68,1,0.89478302,0.913917542,0.918022156,0.920021057,0.921089172,0.92276001,0.923629761,0.924057007,0.924667358,0.924514771,0.924413045,0.791603088,0.838142395,0.850448608,0.86907196,0.884353638,0.891876221,0.898597717,0.899543762,0.903236389,0.903121948,0.901967367
Peach,68,69,1,0.879638672,0.912704468,0.914497375,0.917076111,0.918403625,0.919235229,0.92048645,0.921638489,0.922050476,0.921508789,0.921732585,0.877174377,0.877479553,0.873260498,0.871871948,0.871200562,0.870536804,0.871948242,0.872009277,0.875465393,0.873054504,0.873509725
Peach,69,70,1,0.912124634,0.915740967,0.920036316,0.909217834,0.900253296,0.909973145,0.917739868,0.922943115,0.926948547,0.92905426,0.926315308,0.796424866,0.786964417,0.754081726,0.576148987,0.813148499,0.784317017,0.732582092,0.677513123,0.659965515,0.649581909,0.662353516
Peach,70,71,1,0.7891922,0.844955444,0.867538452,0.882026672,0.893432617,0.90712738,0.900093079,0.9141922,0.918685913,0.933273315,0.922050476,0.721229553,0.619857788,0.621757507,0.626838684,0.621963501,0.620399475,0.624389648,0.621688843,0.620994568,0.621322632,0.621335347
Peach,71,72,1,0.868721008,0.916671753,0.918258667,0.918464661,0.919281006,0.919776917,0.919776917,0.920372009,0.920219421,0.921379089,0.92065684,0.70300293,0.708000183,0.707351685,0.710334778,0.708755493,0.711082458,0.70904541,0.712997437,0.710853577,0.713989258,0.712613424
